dataset,query_mode,workload,query_id,method,seed,table,alias,predicate_count,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias,source_sql_path
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/2b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/2b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,DuckDB,,company_name,cn,1,11,273,24.818181818181817,1.3947699618825309,over,queries/job/2c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,PostgreSQL,,company_name,cn,1,11,11,1.0,0.0,exact,queries/job/2c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/2c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/2c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,DuckDB,,company_name,cn,1,9,273,30.333333333333332,1.4819201376014313,over,queries/job/2d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,PostgreSQL,,company_name,cn,1,9,9,1.0,0.0,exact,queries/job/2d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/2d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/2d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,DuckDB,,keyword,k,1,1,4351,4351.0,3.638589083292717,over,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,PostgreSQL,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,DuckDB,,movie_info,mi,1,15601,1078499,69.13011986411128,1.8396673099024967,over,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,PostgreSQL,,movie_info,mi,1,15601,1173,13.3000852514919,-1.123854424736548,under,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/3a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,DuckDB,,keyword,k,1,3753,4351,1.1593391953104184,0.0642105188796346,over,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,PostgreSQL,,keyword,k,1,3753,3296,1.1386529126213591,-0.056391361388004234,under,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,DuckDB,,movie_info,mi,1,200000,33,6060.606060606061,-3.7825160557860937,under,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,PostgreSQL,,movie_info,mi,1,200000,196360,1.0185373803218578,-0.007976972236149375,under,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/3b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,DuckDB,,keyword,k,1,1,4351,4351.0,3.638589083292717,over,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,PostgreSQL,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,DuckDB,,movie_info,mi,1,21349,1078499,50.51754180523678,1.7034422095318473,over,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,PostgreSQL,,movie_info,mi,1,21349,1467,14.552828902522155,-1.1629474233794437,under,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/3c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,DuckDB,,keyword,k,1,3753,4351,1.1593391953104184,0.0642105188796346,over,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,PostgreSQL,,keyword,k,1,3753,3296,1.1386529126213591,-0.056391361388004234,under,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,DuckDB,,movie_info_idx,mi_idx,1,386364,140634,2.747301506036947,-0.43890632422675946,under,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,PostgreSQL,,movie_info_idx,mi_idx,1,386364,383775,1.0067461403165918,-0.0029199732758244845,under,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,DuckDB,,title,t,1,341478,70291,4.858061487245878,-0.6864630072584492,under,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,PostgreSQL,,title,t,1,341478,341005,1.0013870764358295,-0.0006019822408182124,under,queries/job/4a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,DuckDB,,keyword,k,1,3753,4351,1.1593391953104184,0.0642105188796346,over,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,PostgreSQL,,keyword,k,1,3753,3296,1.1386529126213591,-0.056391361388004234,under,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,DuckDB,,movie_info_idx,mi_idx,1,394413,140634,2.804535176415376,-0.44786089160076237,under,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,PostgreSQL,,movie_info_idx,mi_idx,1,403260,401916,1.0033439823246648,-0.0014498502831148624,under,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/4b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,DuckDB,,keyword,k,1,3753,4351,1.1593391953104184,0.0642105188796346,over,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,PostgreSQL,,keyword,k,1,3753,3296,1.1386529126213591,-0.056391361388004234,under,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,DuckDB,,movie_info_idx,mi_idx,1,543031,140634,3.861306654151912,-0.586734293444191,under,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,PostgreSQL,,movie_info_idx,mi_idx,1,543031,541736,1.002390463251473,-0.001036926125595937,under,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/4c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,DuckDB,,movie_companies,mc,2,176168,155419,1.1335036256828315,-0.05442291362136155,under,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,PostgreSQL,,movie_companies,mc,2,176168,39346,4.477405581253494,-0.6510264362914876,under,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,DuckDB,,movie_info,mi,1,14521,1078499,74.27167550444184,1.870823221332128,over,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,PostgreSQL,,movie_info,mi,1,14521,1173,12.379369138959932,-1.0926985133069165,under,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/5a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,DuckDB,,movie_companies,mc,3,176168,155419,1.1335036256828315,-0.05442291362136155,under,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,PostgreSQL,,movie_companies,mc,3,176168,8853,19.89924319439738,-1.2988365596887466,under,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,DuckDB,,movie_info,mi,1,3759,1078499,286.91114658153765,2.4577474210407613,over,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,PostgreSQL,,movie_info,mi,1,3759,293,12.829351535836178,-1.1082047053597028,under,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/5b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,DuckDB,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,PostgreSQL,,company_type,ct,1,1,1,1.0,0.0,exact,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,DuckDB,,movie_companies,mc,2,176168,155419,1.1335036256828315,-0.05442291362136155,under,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,PostgreSQL,,movie_companies,mc,2,176168,65765,2.6787500950353533,-0.4279321994575673,under,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,DuckDB,,movie_info,mi,1,18531,1078499,58.19971938913172,1.7649208906972176,over,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,PostgreSQL,,movie_info,mi,1,18531,1467,12.631901840490798,-1.1014687422140736,under,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/5c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,DuckDB,,name,n,1,19803,96000,4.847750340857446,0.6855402455683208,over,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,PostgreSQL,,name,n,1,19803,9697,2.0421779931937714,-0.31009359186109375,under,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/6a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,DuckDB,,keyword,k,1,8,4351,543.875,2.7354990963007735,over,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,PostgreSQL,,keyword,k,1,8,8,1.0,0.0,exact,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,DuckDB,,name,n,1,1,96000,96000.0,4.982271233039568,over,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,PostgreSQL,,name,n,1,1,48,48.0,1.6812412373755872,over,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/6b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,DuckDB,,name,n,1,441020,96000,4.593958333333333,-0.6621870518765356,under,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,PostgreSQL,,name,n,1,441020,441212,1.0004353544056959,0.00018903087133964838,over,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,DuckDB,,title,t,1,304849,70291,4.336956367102474,-0.6371850528561754,under,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,PostgreSQL,,title,t,1,304849,304489,1.001182308720512,-0.0005131668521446787,under,queries/job/6c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,DuckDB,,keyword,k,1,8,4351,543.875,2.7354990963007735,over,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,PostgreSQL,,keyword,k,1,8,8,1.0,0.0,exact,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,DuckDB,,name,n,1,1,96000,96000.0,4.982271233039568,over,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,PostgreSQL,,name,n,1,1,48,48.0,1.6812412373755872,over,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,DuckDB,,title,t,1,349934,70291,4.978361383391899,-0.6970864192143915,under,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,PostgreSQL,,title,t,1,349934,349674,1.000743549706298,-0.00032279954058071737,under,queries/job/6d.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,DuckDB,,keyword,k,1,1,2,2.0,0.3010299956639812,over,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,PostgreSQL,,keyword,k,1,1,1,1.0,0.0,exact,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,DuckDB,,name,n,1,19803,96000,4.847750340857446,0.6855402455683208,over,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,PostgreSQL,,name,n,1,19803,9697,2.0421779931937714,-0.31009359186109375,under,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,DuckDB,,title,t,1,349934,70291,4.978361383391899,-0.6970864192143915,under,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,PostgreSQL,,title,t,1,349934,349674,1.000743549706298,-0.00032279954058071737,under,queries/job/6e.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6f,DuckDB,,keyword,k,1,8,4351,543.875,2.7354990963007735,over,queries/job/6f.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6f,PostgreSQL,,keyword,k,1,8,8,1.0,0.0,exact,queries/job/6f.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6f,DuckDB,,title,t,1,351455,70291,5.0,-0.6989700043360187,under,queries/job/6f.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,6f,PostgreSQL,,title,t,1,351455,351455,1.0,0.0,exact,queries/job/6f.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,aka_name,an,1,214,14747,68.91121495327103,1.838289906899886,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,aka_name,an,1,214,32,6.6875,-0.8252637950292849,under,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,link_type,lt,1,1,2,2.0,0.3010299956639812,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,link_type,lt,1,1,1,1.0,0.0,exact,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,name,n,2,36147,240000,6.639555149804963,0.8221389826124603,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,name,n,2,38947,39662,1.0183582817675303,0.007900599631003806,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,person_info,pi,1,96000,400016,4.166833333333333,0.6198061297202437,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,person_info,pi,1,96000,96633,1.00659375,0.0028542295094231883,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,title,t,1,1521,70291,46.21367521367522,1.664770507829463,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,PostgreSQL,,title,t,1,1521,1781,1.170940170940171,0.06853470541024514,over,queries/job/7a.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,aka_name,an,1,3,14747,4915.666666666667,3.6915824255294143,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,aka_name,an,1,3,7,2.3333333333333335,0.36797678529459443,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,link_type,lt,1,1,2,2.0,0.3010299956639812,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,link_type,lt,1,1,1,1.0,0.0,exact,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,name,n,2,12,240000,20000.0,4.301029995663981,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,name,n,2,12,20,1.6666666666666667,0.22184874961635637,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,person_info,pi,1,96000,400016,4.166833333333333,0.6198061297202437,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,person_info,pi,1,96000,96633,1.00659375,0.0028542295094231883,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,title,t,1,1521,70291,46.21367521367522,1.664770507829463,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,PostgreSQL,,title,t,1,1521,1781,1.170940170940171,0.06853470541024514,over,queries/job/7b.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,DuckDB,,aka_name,an,2,54006,14747,3.6621685766596594,-0.5637383318356939,under,queries/job/7c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,PostgreSQL,,aka_name,an,2,54006,51676,1.045088629150863,-0.019153122522652607,under,queries/job/7c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,DuckDB,,info_type,it,1,1,2,2.0,0.3010299956639812,over,queries/job/7c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,PostgreSQL,,info_type,it,1,1,1,1.0,0.0,exact,queries/job/7c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,DuckDB,,link_type,lt,1,4,3,1.3333333333333333,-0.12493873660829993,under,queries/job/7c.sql
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,PostgreSQL,,link_type,lt,1,4,4,1.0,0.0,exact,queries/job/7c.sql
